	8594900
2016-06-06 03:00:00	-0.177
2016-06-06 04:00:00	-0.119
2016-06-06 05:00:00	0.213
2016-06-06 06:00:00	0.568
2016-06-06 07:00:00	0.797
2016-06-06 08:00:00	0.882
2016-06-06 09:00:00	0.839
2016-06-06 10:00:00	0.683
2016-06-06 11:00:00	0.478
2016-06-06 12:00:00	0.272
2016-06-06 13:00:00	0.09
2016-06-06 14:00:00	-0.062
2016-06-06 15:00:00	-0.179
2016-06-06 16:00:00	-0.251
2016-06-06 17:00:00	-0.208
2016-06-06 18:00:00	0.072
2016-06-06 19:00:00	0.423
2016-06-06 20:00:00	0.66
2016-06-06 21:00:00	0.748
2016-06-06 22:00:00	0.709
2016-06-06 23:00:00	0.564
2016-06-07 00:00:00	0.367
2016-06-07 01:00:00	0.18
2016-06-07 02:00:00	0.016
2016-06-07 03:00:00	-0.113
2016-06-07 04:00:00	-0.191
2016-06-07 05:00:00	-0.137
2016-06-07 06:00:00	0.174
2016-06-07 07:00:00	0.52
2016-06-07 08:00:00	0.727
2016-06-07 09:00:00	0.82
2016-06-07 10:00:00	0.795
2016-06-07 11:00:00	0.663
2016-06-07 12:00:00	0.467
2016-06-07 13:00:00	0.269
2016-06-07 14:00:00	0.089
2016-06-07 15:00:00	-0.056
2016-06-07 16:00:00	-0.175
2016-06-07 17:00:00	-0.241
2016-06-07 18:00:00	-0.164
2016-06-07 19:00:00	0.155
2016-06-07 20:00:00	0.453
2016-06-07 21:00:00	0.602
2016-06-07 22:00:00	0.622
2016-06-07 23:00:00	0.533
2016-06-08 00:00:00	0.38
2016-06-08 01:00:00	0.211
2016-06-08 02:00:00	0.052
2016-06-08 03:00:00	-0.099
2016-06-08 04:00:00	-0.214
2016-06-08 05:00:00	-0.272
2016-06-08 06:00:00	-0.175
2016-06-08 07:00:00	0.125
2016-06-08 08:00:00	0.4
2016-06-08 09:00:00	0.587
2016-06-08 10:00:00	0.678
2016-06-08 11:00:00	0.633
2016-06-08 12:00:00	0.53
2016-06-08 13:00:00	0.327
2016-06-08 14:00:00	0.112
2016-06-08 15:00:00	-0.079
2016-06-08 16:00:00	-0.238
2016-06-08 17:00:00	-0.371
2016-06-08 18:00:00	-0.47
2016-06-08 19:00:00	-0.523
2016-06-08 20:00:00	-0.391
2016-06-08 21:00:00	-0.097
2016-06-08 22:00:00	0.161
2016-06-08 23:00:00	0.318
2016-06-09 00:00:00	0.338
2016-06-09 01:00:00	0.253
2016-06-09 02:00:00	0.108
2016-06-09 03:00:00	-0.045
2016-06-09 04:00:00	-0.188
2016-06-09 05:00:00	-0.291
2016-06-09 06:00:00	-0.335
2016-06-09 07:00:00	-0.225
2016-06-09 08:00:00	0.046
2016-06-09 09:00:00	0.304
2016-06-09 10:00:00	0.461
2016-06-09 11:00:00	0.533
2016-06-09 12:00:00	0.494
2016-06-09 13:00:00	0.35
2016-06-09 14:00:00	0.16
2016-06-09 15:00:00	-0.032
2016-06-09 16:00:00	-0.203
2016-06-09 17:00:00	-0.337
2016-06-09 18:00:00	-0.432
2016-06-09 19:00:00	-0.46
2016-06-09 20:00:00	-0.309
2016-06-09 21:00:00	-0.0
2016-06-09 22:00:00	0.265
2016-06-09 23:00:00	0.435
2016-06-10 00:00:00	0.496
2016-06-10 01:00:00	0.437
2016-06-10 02:00:00	0.276
2016-06-10 03:00:00	0.068
2016-06-10 04:00:00	-0.119
2016-06-10 05:00:00	-0.273
2016-06-10 06:00:00	-0.392
2016-06-10 07:00:00	-0.438
2016-06-10 08:00:00	-0.385
2016-06-10 09:00:00	-0.132
2016-06-10 10:00:00	0.146
2016-06-10 11:00:00	0.327
2016-06-10 12:00:00	0.401
2016-06-10 13:00:00	0.368
2016-06-10 14:00:00	0.227
2016-06-10 15:00:00	0.036
2016-06-10 16:00:00	-0.146
2016-06-10 17:00:00	-0.3
2016-06-10 18:00:00	-0.411
2016-06-10 19:00:00	-0.465
2016-06-10 20:00:00	-0.432
2016-06-10 21:00:00	-0.241
2016-06-10 22:00:00	0.039
2016-06-10 23:00:00	0.263
2016-06-11 00:00:00	0.406
2016-06-11 01:00:00	0.454
2016-06-11 02:00:00	0.394
2016-06-11 03:00:00	0.253
2016-06-11 04:00:00	0.08
2016-06-11 05:00:00	-0.079
2016-06-11 06:00:00	-0.206
2016-06-11 07:00:00	-0.272
2016-06-11 08:00:00	-0.221
2016-06-11 09:00:00	0.01
2016-06-11 10:00:00	0.285
2016-06-11 11:00:00	0.487
2016-06-11 12:00:00	0.594
2016-06-11 13:00:00	0.602
2016-06-11 14:00:00	0.509
2016-06-11 15:00:00	0.349
2016-06-11 16:00:00	0.185
2016-06-11 17:00:00	0.019
2016-06-11 18:00:00	-0.117
2016-06-11 19:00:00	-0.216
2016-06-11 20:00:00	-0.264
2016-06-11 21:00:00	-0.227
2016-06-11 22:00:00	-0.043
2016-06-11 23:00:00	0.205
2016-06-12 00:00:00	0.4
2016-06-12 01:00:00	0.51
2016-06-12 02:00:00	0.533
2016-06-12 03:00:00	0.452
2016-06-12 04:00:00	0.303
2016-06-12 05:00:00	0.138
2016-06-12 06:00:00	-0.009
2016-06-12 07:00:00	-0.131
2016-06-12 08:00:00	-0.203
2016-06-12 09:00:00	-0.19
2016-06-12 10:00:00	-0.038
2016-06-12 11:00:00	0.182
2016-06-12 12:00:00	0.368
2016-06-12 13:00:00	0.457
2016-06-12 14:00:00	0.432
2016-06-12 15:00:00	0.325
2016-06-12 16:00:00	0.146
2016-06-12 17:00:00	-0.04
2016-06-12 18:00:00	-0.212
2016-06-12 19:00:00	-0.337
2016-06-12 20:00:00	-0.436
2016-06-12 21:00:00	-0.48
2016-06-12 22:00:00	-0.426
2016-06-12 23:00:00	-0.238
2016-06-13 00:00:00	-0.008
2016-06-13 01:00:00	0.173
2016-06-13 02:00:00	0.269
2016-06-13 03:00:00	0.272
2016-06-13 04:00:00	0.195
2016-06-13 05:00:00	0.057
2016-06-13 06:00:00	-0.104
2016-06-13 07:00:00	-0.242
2016-06-13 08:00:00	-0.368
2016-06-13 09:00:00	-0.464
2016-06-13 10:00:00	-0.525
2016-06-13 11:00:00	-0.535
2016-06-13 12:00:00	-0.401
2016-06-13 13:00:00	-0.182
2016-06-13 14:00:00	-0.015
2016-06-13 15:00:00	0.09
2016-06-13 16:00:00	0.12
2016-06-13 17:00:00	0.061
2016-06-13 18:00:00	-0.07
2016-06-13 19:00:00	-0.206
2016-06-13 20:00:00	-0.319
2016-06-13 21:00:00	-0.389
2016-06-13 22:00:00	-0.359
2016-06-13 23:00:00	-0.17
2016-06-14 00:00:00	0.076
2016-06-14 01:00:00	0.28
2016-06-14 02:00:00	0.433
2016-06-14 03:00:00	0.51
2016-06-14 04:00:00	0.503
2016-06-14 05:00:00	0.409
2016-06-14 06:00:00	0.265
2016-06-14 07:00:00	0.118
2016-06-14 08:00:00	-0.013
2016-06-14 09:00:00	-0.121
2016-06-14 10:00:00	-0.171
2016-06-14 11:00:00	-0.091
2016-06-14 12:00:00	0.119
2016-06-14 13:00:00	0.334
2016-06-14 14:00:00	0.507
2016-06-14 15:00:00	0.6
2016-06-14 16:00:00	0.572
2016-06-14 17:00:00	0.442
2016-06-14 18:00:00	0.263
2016-06-14 19:00:00	0.092
2016-06-14 20:00:00	-0.048
2016-06-14 21:00:00	-0.161
2016-06-14 22:00:00	-0.227
2016-06-14 23:00:00	-0.21
2016-06-15 00:00:00	-0.043
2016-06-15 01:00:00	0.233
2016-06-15 02:00:00	0.475
2016-06-15 03:00:00	0.627
